First,Last,Nickname,Height in cm,Weight in lbs,Reach in inches,Stance,W,L,D,Belt
Antonio,Dos Santos,Junior Alpha,177.8,185,0.0,Orthodox,6.0,4.0,0.0,0.0
Anderson,Dos Santos,Berinja,165.1,135,177.8,Orthodox,21.0,9.0,0.0,0.0
Acacio,Dos Santos,Pequeno,193.04,205,200.66,Orthodox,14.0,5.0,0.0,0.0
Felipe,dos Santos,Lipe Detona,0.0,125,0.0,0,7.0,0.0,0.0,0.0
Tiago,dos Santos e Silva,Trator,175.26,145,177.8,Orthodox,20.0,7.0,2.0,0.0
Oleksandr,Doskalchuk,0,167.64000000000001,125,0.0,Southpaw,10.0,2.0,0.0,0.0
David,Douglas,Tarzan,180.34,155,0.0,0,9.0,7.0,0.0,0.0
Damion,Douglas,0,0.0,170,0.0,0,4.0,1.0,0.0,0.0
Cedric,Doumbe,0,177.8,170,0.0,0,2.0,0.0,0.0,0.0
John,Dowdy,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0
Jordan,Dowdy,0,0.0,170,0.0,0,4.0,3.0,0.0,0.0
Danny,Downes,0,182.88,155,182.88,Orthodox,8.0,3.0,0.0,0.0
Derek,Downey,0,185.42,185,0.0,Orthodox,11.0,4.0,0.0,0.0
John,Doyle,The Iron Bull,180.34,205,0.0,Orthodox,11.0,22.0,0.0,0.0
Edson,Drago,0,193.04,220,0.0,Orthodox,11.0,7.0,0.0,0.0
Kyle,Driscoll,KD,180.34,145,187.96,Orthodox,12.0,3.0,0.0,0.0
Chris,Drumm,0,172.72,145,0.0,0,0.0,1.0,0.0,0.0
Tomasz,Drwal,Gorilla,185.42,205,193.04,Orthodox,21.0,5.0,1.0,0.0
Robert,Drysdale,0,190.5,205,0.0,Orthodox,7.0,0.0,0.0,0.0
Dricus,Du Plessis,Stillknocks,185.42,185,193.04,Switch,20.0,2.0,0.0,0.0
Hugo,Duarte,0,182.88,240,0.0,Orthodox,6.0,3.0,0.0,0.0
Antonio,Duarte,Tigre,170.18,135,0.0,0,19.0,7.0,0.0,0.0
Joe,Duarte,0,0.0,155,0.0,0,10.0,4.0,0.0,0.0
Emily,Ducote,Gordinha,157.48000000000002,115,160.02,Orthodox,12.0,8.0,0.0,0.0
Viktoriia,Dudakova,0,165.1,115,170.18,Orthodox,7.0,0.0,0.0,0.0
Milana,Dudieva,0,160.02,135,0.0,Orthodox,11.0,6.0,0.0,0.0
Adin,Duenas,0,167.64000000000001,145,0.0,0,6.0,1.0,0.0,0.0
Todd,Duffee,0,190.5,260,198.12,Orthodox,9.0,3.0,0.0,0.0
Joe,Duffy,Irish,177.8,155,185.42000000000002,Orthodox,16.0,5.0,0.0,0.0
Alexis,Dufresne,Sneaky Zebra,175.26,135,0.0,Orthodox,6.0,3.0,0.0,0.0
Jessamyn,Duke,The Gun,180.34,135,185.42000000000002,Orthodox,3.0,5.0,0.0,0.0
Isaac,Dulgarian,The Midwest Choppa,170.18,145,0.0,Orthodox,5.0,0.0,0.0,0.0
Kelly,Dullanty,Psycho,172.72,155,0.0,Orthodox,4.0,2.0,0.0,0.0
Sedriques,Dumas,The Reaper,187.96,185,200.66,Orthodox,8.0,1.0,0.0,0.0
Norma,Dumont,The Immortal,170.18,145,170.18,Orthodox,10.0,2.0,0.0,0.0
Chris,Duncan,The Problem,177.8,155,180.34,Orthodox,11.0,1.0,0.0,0.0
Christian Leroy,Duncan,CLD,187.96,185,200.66,Switch,8.0,1.0,0.0,0.0
Evan,Dunham,0,177.8,155,177.8,Southpaw,18.0,9.0,1.0,0.0
Alex,Dunworth,0,172.72,155,0.0,0,2.0,2.0,0.0,0.0
Tom,Duquesnoy,Fire Kid,170.18,135,172.72,Orthodox,16.0,2.0,0.0,0.0
Albert,Duraev,0,180.34,185,190.5,Orthodox,16.0,5.0,0.0,0.0
Reuben,Duran,0,170.18,135,180.34,Orthodox,11.0,7.0,1.0,0.0
Cody,Durden,0,170.18,125,170.18,Southpaw,15.0,4.0,1.0,0.0
Luiz,Dutra,Besouro,180.34,170,0.0,Orthodox,13.0,6.0,1.0,0.0
Rilley,Dutro,0,172.72,125,0.0,Orthodox,11.0,4.0,0.0,0.0
Bill,Duvall,0,187.96,185,0.0,Southpaw,1.0,2.0,0.0,0.0
Merab,Dvalishvili,The Machine,167.64000000000001,135,172.72,Orthodox,16.0,4.0,0.0,0.0
David,Dvorak,Undertaker,165.1,125,172.72,Orthodox,20.0,6.0,0.0,0.0
Matt,Dwyer,0,193.04,170,193.04,Orthodox,9.0,4.0,0.0,0.0
Rolando,Dy,Dy Incredible,172.72,145,175.26,Orthodox,9.0,7.0,1.0,0.0
Ben,Earwood,0,172.72,170,0.0,Orthodox,12.0,3.0,0.0,0.0
Cody,East,The Freight Train,190.5,245,0.0,Orthodox,12.0,3.0,0.0,0.0
Marvin,Eastman,The Beastman,175.26,185,185.42000000000002,Orthodox,18.0,15.0,1.0,0.0
Mike,Easton,The Hulk,167.64000000000001,135,177.8,Southpaw,13.0,6.0,0.0,0.0
Maurice,Eazel,0,170.18,135,0.0,0,7.0,15.0,0.0,0.0
Vincent,Eazelle,The Real Deal,180.34,155,0.0,0,9.0,2.0,0.0,0.0
Ross,Ebanez,The Boss,175.26,154,0.0,Southpaw,20.0,10.0,0.0,0.0
Brian,Ebersole,Bad Boy,182.88,170,185.42000000000002,Southpaw,51.0,18.0,1.0,0.0
Roybert,Echeverria,The Unbroken,165.1,125,170.18,Switch,7.0,1.0,0.0,0.0
Mark,Eddiva,0,172.72,145,172.72,Orthodox,6.0,3.0,0.0,0.0
Frankie,Edgar,The Answer,167.64000000000001,135,172.72,Orthodox,23.0,11.0,1.0,0.0
Abdul-Kerim,Edilov,0,187.96,205,0.0,Orthodox,17.0,4.0,0.0,0.0
Johnny,Eduardo,0,170.18,135,180.34,Orthodox,28.0,13.0,0.0,0.0
Yves,Edwards,0,175.26,155,185.42000000000002,Southpaw,42.0,22.0,1.0,0.0
Justin,Edwards,Fast Eddy,177.8,155,177.8,Orthodox,9.0,5.0,0.0,0.0
Leon,Edwards,Rocky,187.96,170,187.96,Southpaw,21.0,3.0,0.0,0.0
Te,Edwards,0,172.72,155,182.88,Orthodox,6.0,3.0,0.0,0.0
Adli,Edwards,0,0.0,145,0.0,0,4.0,1.0,0.0,0.0
Joselyne,Edwards,La Pantera,172.72,135,177.8,Orthodox,13.0,4.0,0.0,0.0
Tom,Egan,0,180.34,170,0.0,Orthodox,7.0,5.0,0.0,0.0
Stephanie,Egger,0,167.64000000000001,135,172.72,Orthodox,8.0,4.0,0.0,0.0
Justin,Eilers,The Hammer,185.42,235,0.0,Orthodox,19.0,7.0,1.0,0.0
Jon Olav,Einemo,The Viking,198.12,253,0.0,Orthodox,6.0,3.0,0.0,0.0
Per,Eklund,0,177.8,155,182.88,Orthodox,14.0,5.0,1.0,0.0
John,Elam,0,0.0,0,0.0,0,2.0,0.0,0.0,0.0
Evan,Elder,The Phenom,177.8,155,182.88,Switch,8.0,2.0,0.0,0.0
John Paul,Elias,0,193.04,205,0.0,0,3.0,1.0,0.0,0.0
Joao,Elias,Alicate,160.02,125,162.56,Southpaw,17.0,4.0,1.0,0.0
Saul,Elizondo,0,170.18,135,0.0,0,6.0,8.0,0.0,0.0
Darren,Elkins,The Damage,177.8,145,180.34,Orthodox,27.0,11.0,0.0,0.0
Jake,Ellenberger,The Juggernaut,175.26,170,180.34,Orthodox,31.0,15.0,0.0,0.0
Joe,Ellenberger,Excalibur,175.26,155,182.88,Orthodox,15.0,2.0,0.0,0.0
Tim,Elliott,0,170.18,125,167.64000000000001,Southpaw,20.0,12.0,1.0,0.0
Oban,Elliott,Evil,0.0,170,0.0,0,8.0,2.0,0.0,0.0
Eddy,Ellis,Fast,175.26,170,0.0,Orthodox,21.0,16.0,1.0,0.0
Lisa,Ellis,0,162.56,115,0.0,0,15.0,11.0,0.0,0.0
Anna,Elmose,Panda,160.02,115,0.0,Orthodox,3.0,2.0,0.0,0.0
Cameron,Else,Camchida,175.26,135,180.34,Switch,10.0,6.0,0.0,0.0
Aaron,Ely,The Cyborg,172.72,135,0.0,0,5.0,2.0,0.0,0.0
Sovannahry,Em,The Sweet Savage,162.56,135,0.0,0,3.0,1.0,0.0,0.0
Ramazan,Emeev,Gorets,177.8,170,193.04,Southpaw,20.0,6.0,0.0,0.0
Aleksander,Emelianenko,0,198.12,255,0.0,Orthodox,23.0,7.0,0.0,0.0
Fedor,Emelianenko,The Last Emperor,182.88,230,187.96,Orthodox,36.0,5.0,0.0,0.0
Rob,Emerson,The Saint,175.26,155,177.8,Orthodox,18.0,12.0,0.0,0.0
Jamall,Emmers,Pretty Boy,177.8,145,187.96,Orthodox,19.0,7.0,0.0,0.0
Josh,Emmett,CC0,167.64000000000001,145,177.8,Orthodox,18.0,4.0,0.0,0.0
Marius,Enache,0,180.34,155,0.0,0,3.0,3.0,0.0,0.0
Kevin,Engel,The Hitman,187.96,170,0.0,0,5.0,1.0,0.0,0.0
Kolton,Englund,White Assassin,177.8,155,175.26,Orthodox,9.0,4.0,0.0,0.0
Oliver,Enkamp,0,182.88,170,195.58,Switch,7.0,2.0,0.0,0.0
Alex,Enlund,0,177.8,145,0.0,Orthodox,14.0,2.0,0.0,0.0
Kenny,Ento,Tha' Dragon,187.96,192,0.0,0,14.0,15.0,0.0,0.0
Ian,Entwistle,Enty,165.1,135,0.0,Orthodox,9.0,3.0,0.0,0.0
Andy,Enz,Tank Mode,190.5,185,198.12,Orthodox,10.0,4.0,0.0,0.0
Won Jin,Eoh,0,170.18,160,0.0,Orthodox,5.0,5.0,1.0,0.0
Josh,Epps,0,0.0,130,0.0,0,6.0,7.0,0.0,0.0
Steve,Erceg,Astroboy,172.72,125,172.72,Orthodox,10.0,1.0,0.0,0.0
Tom,Erikson,The Big Cat,190.5,280,0.0,Orthodox,9.0,4.0,1.0,0.0
Konstantin,Erokhin,0,180.34,230,0.0,Orthodox,9.0,3.0,0.0,0.0
Julian,Erosa,Juicy J,185.42,145,187.96,Southpaw,28.0,12.0,0.0,0.0
Jarno,Errens,0,180.34,145,185.42000000000002,Orthodox,13.0,4.0,1.0,0.0
Nick,Ertl,0,175.26,155,0.0,0,8.0,6.0,0.0,0.0
Chel,Erwin-Davis,The First Sun,182.88,170,0.0,0,5.0,1.0,0.0,0.0
Bobby,Escalante,0,0.0,130,0.0,0,5.0,6.0,0.0,0.0
Eric,Esch,Butterbean,180.34,350,0.0,Orthodox,15.0,10.0,1.0,0.0
Pro,Escobedo,0,0.0,205,0.0,0,1.0,0.0,0.0,0.0
Cole,Escovedo,Apache Kid,170.18,135,182.88,Orthodox,17.0,9.0,0.0,0.0
Efrain,Escudero,Hecho En Mexico,175.26,155,180.34,Orthodox,28.0,12.0,0.0,0.0
Evan,Esguerra,0,0.0,145,0.0,0,8.0,7.0,0.0,0.0
Carla,Esparza,Cookie Monster,154.94,115,160.02,Orthodox,20.0,7.0,0.0,0.0
Juan,Espino,El Guapo,190.5,255,203.2,0,11.0,2.0,0.0,0.0
Jordan,Espinosa,The Gamer,167.64000000000001,125,175.26,Orthodox,15.0,9.0,0.0,0.0
Jodie,Esquibel,0,154.94,115,162.56,Orthodox,6.0,6.0,0.0,0.0
Rafael,Estevam,Macapa,172.72,125,175.26,Orthodox,11.0,0.0,0.0,0.0
Achilles,Estremadura,0,177.8,155,172.72,Orthodox,7.0,1.0,0.0,0.0
Shaun,Etchell,The Buzzsaw,170.18,125,172.72,Switch,7.0,3.0,0.0,0.0
Terry,Etim,0,185.42,155,185.42000000000002,Orthodox,16.0,5.0,0.0,0.0
Fred,Ettish,0,182.88,180,0.0,Southpaw,1.0,1.0,0.0,0.0
Scott,Ettling,0,0.0,135,0.0,0,4.0,2.0,0.0,0.0
Sijara,Eubanks,SarJ,162.56,125,170.18,Orthodox,8.0,7.0,0.0,0.0
Billy,Evangelista,0,172.72,155,172.72,Orthodox,13.0,3.0,0.0,0.0
Rashad,Evans,Suga,182.88,205,190.5,Orthodox,19.0,8.0,1.0,0.0
Doug,Evans,0,175.26,155,0.0,Orthodox,13.0,10.0,0.0,0.0
Ashlee,Evans-Smith,Rebel Girl,172.72,135,170.18,Orthodox,6.0,6.0,0.0,0.0
Dan,Evensen,The Viking,190.5,250,0.0,Orthodox,11.0,4.0,0.0,0.0
Tonya,Evinger,Triple Threat,170.18,135,177.8,Orthodox,19.0,8.0,0.0,0.0
Movsar,Evloev,0,170.18,145,182.88,Orthodox,17.0,0.0,0.0,0.0
Andre,Ewell,Mr. Highlight,172.72,145,190.5,Southpaw,17.0,9.0,0.0,0.0
Neal,Ewing,0,0.0,185,0.0,0,6.0,0.0,0.0,0.0
Jessica,Eye,Evil,167.64000000000001,125,167.64000000000001,Orthodox,15.0,11.0,0.0,0.0
Edward,Faaloloto,0,0.0,155,177.8,0,2.0,5.0,0.0,0.0
Urijah,Faber,The California Kid,167.64000000000001,135,170.18,Orthodox,35.0,11.0,0.0,0.0
Melinda,Fabian,0,167.64000000000001,125,167.64000000000001,0,4.0,4.0,2.0,0.0
Wagnney,Fabiano,The Silencer,167.64000000000001,145,175.26,Southpaw,16.0,4.0,0.0,0.0
Bartosz,Fabinski,The Butcher,182.88,170,190.5,Orthodox,15.0,5.0,0.0,0.0
Ron,Faircloth,0,175.26,205,0.0,Orthodox,33.0,20.0,0.0,0.0
Jason,Fairn,0,185.42,230,0.0,0,4.0,5.0,0.0,0.0
Zarah,Fairn,Infinite,172.72,135,182.88,Orthodox,6.0,5.0,0.0,0.0
Rinat,Fakhretdinov,Gladiator,182.88,170,187.96,Orthodox,21.0,1.0,0.0,0.0
Maiquel,Falcao,Big Rig,180.34,185,0.0,Orthodox,37.0,10.0,0.0,0.0
Pedro,Falcao,Pedrinho,167.64000000000001,135,167.64000000000001,Orthodox,15.0,3.0,0.0,0.0
Brodie,Farber,0,185.42,170,0.0,Orthodox,16.0,7.0,0.0,0.0
Joao Paulo,Faria,0,175.26,155,0.0,0,1.0,1.0,0.0,0.0
Kalindra,Faria,0,170.18,125,0.0,Switch,18.0,8.0,1.0,0.0
Chance,Farrar,0,175.26,145,0.0,Southpaw,8.0,3.0,0.0,0.0
Rico,Farrington,The Triggerman,193.04,170,200.66,Southpaw,7.0,3.0,0.0,0.0
Kelly,Faszholz,0,172.72,135,0.0,Orthodox,4.0,2.0,0.0,0.0
Rodney,Faverus,0,182.88,215,0.0,Southpaw,25.0,20.0,3.0,0.0
Paul,Felder,The Irish Dragon,180.34,155,177.8,Orthodox,17.0,6.0,0.0,0.0
Carlos,Felipe,Boi,182.88,245,190.5,Orthodox,11.0,2.0,0.0,0.0
JP,Felty,0,0.0,170,0.0,0,4.0,5.0,0.0,0.0
Feng,Pengchao,0,0.0,135,0.0,0,15.0,9.0,1.0,0.0
Kevin,Ferguson,Kimbo Slice,187.96,235,195.58,Orthodox,5.0,2.0,0.0,0.0
Rhadi,Ferguson,0,170.18,205,0.0,0,3.0,0.0,0.0,0.0
Tony,Ferguson,El Cucuy,180.34,155,193.04,Orthodox,26.0,8.0,0.0,0.0
Josh,Ferguson,Taz,165.1,125,0.0,Orthodox,10.0,5.0,0.0,0.0
CJ,Fernandes,0,187.96,170,0.0,0,14.0,8.0,3.0,0.0
Bibiano,Fernandes,0,170.18,139,0.0,Orthodox,20.0,3.0,0.0,0.0
Gabriella,Fernandes,Gabi,167.64000000000001,125,167.64000000000001,Southpaw,8.0,3.0,0.0,0.0
Emily,Fernandez,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Lucas,Fernando,0,0.0,185,0.0,0,9.0,1.0,0.0,0.0
Alexandre,Ferreira,Cacareco,170.18,205,0.0,Orthodox,18.0,6.0,0.0,0.0
Cezar,Ferreira,Mutante,185.42,185,198.12,Southpaw,13.0,8.0,0.0,0.0
Diego,Ferreira,0,175.26,155,187.96,Orthodox,18.0,5.0,0.0,0.0
Erisson,Ferreira,Gato,167.64000000000001,125,177.8,Orthodox,12.0,2.0,0.0,0.0
Brunno,Ferreira,The Hulk,177.8,185,182.88,Orthodox,10.0,1.0,0.0,0.0
Scott,Ferrozzo,The Pitbull,180.34,323,0.0,Orthodox,4.0,2.0,0.0,0.0
Timo,Feucht,0,190.5,205,200.66,Orthodox,8.0,1.0,0.0,0.0
Andre,Fialho,0,182.88,170,187.96,Orthodox,16.0,7.0,0.0,0.0
Drew,Fickett,The Master,177.8,155,177.8,Orthodox,42.0,21.0,0.0,0.0
Scott,Fiedler,0,193.04,235,0.0,Orthodox,0.0,1.0,0.0,0.0
Ron,Fields,Killing,187.96,200,0.0,Orthodox,28.0,32.0,1.0,0.0
Michal,Figlak,Mad Dog,177.8,155,177.8,Orthodox,8.0,1.0,0.0,0.0
Deiveson,Figueiredo,Deus da Guerra,165.1,125,172.72,Orthodox,21.0,3.0,1.0,0.0
Francisco,Figueiredo,Sniper,167.64000000000001,125,172.72,Southpaw,13.0,5.0,1.0,0.0
Anthony,Figueroa,0,162.56,135,0.0,Orthodox,11.0,8.0,1.0,0.0
Edwin,Figueroa,El Feroz,170.18,135,175.26,Orthodox,9.0,5.0,0.0,0.0
Paulo,Filho,0,172.72,185,0.0,Southpaw,23.0,6.0,3.0,0.0
Jafel,Filho,Pastor,170.18,125,172.72,Orthodox,15.0,3.0,0.0,0.0
Andre,Fili,Touchy,180.34,145,187.96,Orthodox,22.0,10.0,0.0,0.0
Mirko,Filipovic,Cro Cop,187.96,230,185.42000000000002,Southpaw,35.0,11.0,2.0,0.0
Brady,Fink,0,182.88,183,0.0,Orthodox,2.0,3.0,0.0,0.0
Jesse,Finney,0,182.88,170,0.0,0,5.0,1.0,0.0,0.0
Jan,Finney,Cuddles,172.72,135,0.0,Orthodox,11.0,12.0,0.0,0.0
Luigi,Fioravanti,0,172.72,170,177.8,Orthodox,26.0,15.0,0.0,0.0
Nick,Fiore,0,177.8,155,182.88,Orthodox,6.0,2.0,0.0,0.0
Manon,Fiorot,The Beast,170.18,125,165.1,Orthodox,10.0,1.0,0.0,0.0
Luiz,Firmino,Buscape,167.64000000000001,154,0.0,Orthodox,19.0,8.0,0.0,0.0
Spencer,Fisher,The King,170.18,155,172.72,Southpaw,24.0,9.0,0.0,0.0
Chris,Fishgold,0,172.72,145,172.72,Orthodox,18.0,4.0,1.0,0.0
Bryanna,Fissori,0,162.56,145,0.0,0,2.0,4.0,0.0,0.0
Jon,Fitch,0,182.88,170,187.96,Orthodox,30.0,7.0,1.0,0.0
Isi,Fitikefu,Doxz,177.8,205,0.0,0,6.0,0.0,0.0,0.0
Rafael,Fiziev,Ataman,172.72,155,180.34,Switch,12.0,2.0,0.0,0.0
Colin,Fletcher,The Freakshow,187.96,155,0.0,Orthodox,14.0,8.0,0.0,0.0
AJ,Fletcher,The Ghost,177.8,170,170.18,Switch,10.0,2.0,0.0,0.0
Jimmy,Flick,The Brick,170.18,125,172.72,Orthodox,16.0,7.0,0.0,0.0
Luke,Flores,0,182.88,155,185.42000000000002,Southpaw,9.0,2.0,0.0,0.0
Ty,Flores,Big Medicine,190.5,205,185.42000000000002,Switch,7.0,3.0,0.0,0.0
Alejandro,Flores,El Gallito,177.8,145,185.42000000000002,Orthodox,17.0,3.0,0.0,0.0
Kenny,Florian,KenFlo,177.8,145,187.96,Southpaw,14.0,6.0,0.0,0.0
Darrius,Flowers,Beast Mode,175.26,170,180.34,Orthodox,12.0,5.0,1.0,0.0
Cody,Floyd,0,0.0,0,0.0,0,2.0,0.0,0.0,0.0
Bobby,Flynn,0,0.0,170,0.0,0,6.0,4.0,0.0,0.0
Caros,Fodor,The Future,175.26,155,187.96,Orthodox,11.0,6.0,0.0,0.0
Mal,Foki,Twin Tiger,170.18,220,0.0,Orthodox,5.0,5.0,0.0,0.0
Matt,Foki,Twin Tiger,170.18,220,0.0,Orthodox,5.0,4.0,0.0,0.0
AJ,Fonseca,0,162.56,145,0.0,0,5.0,4.0,0.0,0.0
Rob,Font,0,172.72,135,180.34,Orthodox,20.0,6.0,0.0,0.0
Claudionor,Fontinelle,0,165.1,185,0.0,Orthodox,10.0,15.0,1.0,0.0
Jesse,Forbes,Kid Hercules,187.96,185,190.5,Southpaw,15.0,5.0,0.0,0.0
Sterling,Ford,0,177.8,155,0.0,0,15.0,7.0,0.0,0.0
Codale,Ford,Crunch Time,175.26,170,0.0,0,11.0,9.0,0.0,0.0
Jussier,Formiga,0,165.1,125,170.18,Orthodox,23.0,8.0,0.0,0.0
Renee,Forte,0,170.18,155,180.34,Orthodox,8.0,4.0,0.0,0.0
Brianna,Fortino,The Bull,152.4,115,157.48,Southpaw,9.0,3.0,0.0,0.0
Marcel,Fortuna,0,185.42,205,187.96,Orthodox,9.0,3.0,0.0,0.0
Brian,Foster,The Foster Boy,175.26,170,180.34,Orthodox,27.0,10.0,0.0,0.0
Xavier,Foupa-Pokam,Professor X,185.42,185,0.0,Open Stance,32.0,22.0,0.0,0.0
Mason,Fowler,0,180.34,170,0.0,0,2.0,0.0,0.0,0.0
Brandon,Foxworth,0,180.34,145,0.0,Orthodox,18.0,4.0,0.0,0.0
Hermes,Franca,0,167.64000000000001,155,180.34,Orthodox,24.0,17.0,0.0,0.0
Glaico,Franca Moreira,Nego,182.88,155,195.58,Orthodox,15.0,5.0,0.0,0.0
Francisco,France,Kiko,182.88,205,0.0,0,13.0,5.0,1.0,0.0
John,Franchi,0,167.64000000000001,145,170.18,Orthodox,6.0,2.0,0.0,0.0
Rich,Franklin,Ace,185.42,185,193.04,Southpaw,29.0,7.0,0.0,0.0
Zoila,Frausto,Warrior Princess,162.56,135,0.0,Orthodox,13.0,5.0,0.0,0.0
Stephanie,Frausto,Lil Bovy,157.48000000000002,115,154.94,Orthodox,8.0,7.0,0.0,0.0
Zane,Frazier,Nasty,195.57999999999998,250,0.0,Orthodox,4.0,11.0,0.0,0.0
Gary,Frazier,0,182.88,245,0.0,Orthodox,3.0,3.0,0.0,0.0
Justin,Frazier,The Grizzly Bear,182.88,265,190.5,Southpaw,10.0,3.0,0.0,0.0
Ian,Freeman,The Machine,180.34,225,0.0,Orthodox,20.0,7.0,1.0,0.0
Jason,Freeman,0,187.96,225,0.0,0,6.0,4.0,0.0,0.0
Willamy,Freire,Chiquerim,172.72,155,0.0,0,26.0,6.0,0.0,0.0
Patricio,Freire,Pitbull,165.1,145,165.1,0,26.0,4.0,0.0,0.0
Patricky,Freire,Pitbull,170.18,155,180.34,0,17.0,8.0,0.0,0.0
Jeremy,Freitag,0,185.42,205,0.0,0,6.0,10.0,0.0,0.0
Rafael,Freitas,Capoeira,0.0,205,0.0,Orthodox,3.0,6.0,0.0,0.0
Donavon,Frelow,0,170.18,135,0.0,Orthodox,6.0,3.0,0.0,0.0
Josh,Fremd,0,193.04,185,193.04,Orthodox,10.0,4.0,0.0,0.0
Clay,French,0,170.18,161,0.0,Southpaw,19.0,7.0,0.0,0.0
Mike,French,0,177.8,145,0.0,0,9.0,10.0,0.0,0.0
Matt,Frevola,The SteamRolla,175.26,155,180.34,Orthodox,11.0,3.0,1.0,0.0
Jinh Yu,Frey,0,160.02,115,165.1,Southpaw,11.0,9.0,0.0,0.0
Artem,Frolov,0,177.8,185,0.0,0,11.0,0.0,0.0,0.0
Sarah,Frota,A Treta,167.64000000000001,125,175.26,Southpaw,9.0,2.0,0.0,0.0
Don,Frye,The Predator,185.42,219,0.0,Orthodox,20.0,9.0,1.0,0.0
Tony,Fryklund,The Freak,182.88,185,0.0,Orthodox,14.0,9.0,1.0,0.0
Adam,Fugitt,0,185.42,170,195.58,Southpaw,9.0,4.0,0.0,0.0
Jesse,Fujarczyk,The Ronin,193.04,225,0.0,Southpaw,2.0,2.0,0.0,0.0
Katsuhisa,Fujii,Shamoji,182.88,205,0.0,Orthodox,9.0,18.0,1.0,0.0
Megumi,Fujii,Mega Megu,160.02,113,0.0,0,26.0,3.0,0.0,0.0
Kazuyuki,Fujita,Ironhead,182.88,235,0.0,Orthodox,15.0,12.0,0.0,0.0
Keisuke,Fujiwara,0,167.64000000000001,139,0.0,Switch,17.0,12.0,5.0,0.0
Riki,Fukuda,0,182.88,185,185.42000000000002,Southpaw,24.0,9.0,0.0,0.0
Masio,Fullen,Lobo,177.8,145,177.8,Orthodox,11.0,7.0,0.0,0.0
Travis,Fulton,The Ironman,182.88,240,0.0,Orthodox,253.0,53.0,10.0,0.0
Sam,Fulton,0,0.0,0,0.0,0,0.0,2.0,0.0,0.0
Masakatsu,Funaki,0,182.88,185,0.0,Southpaw,39.0,13.0,2.0,0.0
Ricardo,Funch,Golden Boy,177.8,170,187.96,Southpaw,9.0,6.0,0.0,0.0
Katsuaki,Furuki,0,182.88,168,0.0,0,1.0,1.0,0.0,0.0
James,Gabert,0,0.0,178,0.0,0,6.0,4.0,0.0,0.0
Gustavo,Gabriel,0,167.64000000000001,125,0.0,Orthodox,13.0,1.0,0.0,0.0
Claudia,Gadelha,Claudinha,162.56,115,160.02,Orthodox,18.0,5.0,0.0,0.0
Alavutdin,Gadjiev,0,187.96,185,0.0,Orthodox,18.0,13.0,1.0,0.0
Magomed,Gadzhiyasulov,0,0.0,205,0.0,0,7.0,0.0,0.0,0.0
Justin,Gaethje,The Highlight,180.34,155,177.8,Orthodox,24.0,4.0,0.0,0.0
Sheila,Gaff,The German Tank,165.1,135,0.0,Orthodox,9.0,7.0,0.0,0.0
Muin,Gafurov,Tajik,170.18,135,172.72,Southpaw,18.0,5.0,0.0,0.0
Mitch,Gagnon,0,165.1,135,165.1,Southpaw,12.0,5.0,0.0,0.0
Brandon,Gaines,0,190.5,185,0.0,0,5.0,21.0,0.0,0.0
Travis,Galbraith,The Gladiator,182.88,170,0.0,Orthodox,18.0,7.0,0.0,0.0
Dave,Galera,Scarecrow,180.34,135,0.0,Orthodox,5.0,1.0,0.0,0.0
Zelg,Galesic,Benkei,187.96,185,0.0,Orthodox,11.0,9.0,0.0,0.0
Mickey,Gall,0,187.96,170,187.96,Switch,7.0,5.0,0.0,0.0
Daniel,Gallemore,Big Kansas,195.57999999999998,265,0.0,0,7.0,3.0,0.0,0.0
Tom,Gallicchio,Da Tank,177.8,170,0.0,Southpaw,19.0,10.0,0.0,0.0
Turrell,Galloway,0,160.02,145,0.0,0,8.0,6.0,0.0,0.0
Eric,Galvan,0,0.0,155,0.0,0,0.0,0.0,0.0,0.0
Andre,Galvao,0,170.18,168,0.0,Orthodox,5.0,2.0,0.0,0.0
Marcos,Galvao,Loro,170.18,135,0.0,Orthodox,18.0,8.0,1.0,0.0
Lucas,Gamaza,0,0.0,170,0.0,0,8.0,4.0,0.0,0.0
Joey,Gambino,The Raging Warrior,170.18,145,0.0,Orthodox,9.0,2.0,0.0,0.0
Manvel,Gamburyan,The Anvil,165.1,135,170.18,Orthodox,15.0,10.0,0.0,0.0
Mateusz,Gamrot,Gamer,177.8,155,177.8,Southpaw,22.0,2.0,0.0,0.0
Shamil,Gamzatov,0,187.96,205,193.04,Orthodox,14.0,1.0,0.0,0.0
Ariel,Gandulla,0,180.34,205,0.0,Orthodox,7.0,9.0,0.0,0.0
Ciryl,Gane,Bon Gamin,193.04,245,205.74,Orthodox,11.0,2.0,0.0,0.0
Sean,Gannon,The Cannon,190.5,265,0.0,Southpaw,2.0,1.0,0.0,0.0
Junye,Gao,0,0.0,125,0.0,0,19.0,12.0,0.0,0.0
Eduardo,Garagorri,0,175.26,145,177.8,Orthodox,13.0,2.0,0.0,0.0
Cody,Garbrandt,No Love,172.72,135,165.1,Orthodox,13.0,5.0,0.0,0.0
Leonard,Garcia,Bad Boy,177.8,145,172.72,Orthodox,18.0,13.0,1.0,0.0
Edgar,Garcia,0,177.8,170,180.34,Orthodox,14.0,5.0,0.0,0.0
Alejandro,Garcia,Alex,170.18,145,0.0,0,14.0,10.0,0.0,0.0
